video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
mB7FGMXBPLc,03.04.13,Top 10 Funniest Cat Videos,CatLovers,22,2017-11-30T12:00:03.000Z,"cats|funny|top 10|videos",25478521,742354,5032,18475,https://i.ytimg.com/vi/mB7FGMXBPLc/default.jpg,False,False,False,"The funniest cat videos you'll ever see!"
GxBkF0f-7XA,29.02.12,Live Performance: Ed Sheeran - Shape of You,EdSheeranMusic,10,2017-07-15T20:00:03.000Z,"Ed Sheeran|Shape of You|live performance",24875412,1587456,48714,187542,https://i.ytimg.com/vi/GxBkF0f-7XA/default.jpg,False,False,False,"Ed Sheeran performs Shape of You live."
K2x1Zm_Rf0M,15.08.11,DIY Slime Challenge,TroomTroom,24,2017-09-25T12:00:03.000Z,"DIY|slime|challenge|fun",5748571,248751,1458,7845,https://i.ytimg.com/vi/K2x1Zm_Rf0M/default.jpg,False,False,False,"Can we create the most epic slime ever?"
xRbPAVqdpWc,10.09.10,10 Mind-Blowing Optical Illusions,BrightSide,28,2017-11-22T10:00:03.000Z,"illusions|optical|fun|BrightSide",15874523,487584,1258,58741,https://i.ytimg.com/vi/xRbPAVqdpWc/default.jpg,False,False,False,"These optical illusions will blow your mind!"
H15dcRbPpjE,21.12.09,Inspirational Talk: Believe in Yourself,TEDxTalks,29,2017-11-19T18:00:03.000Z,"TEDx|inspiration|believe|yourself",457854,45875,102,547,https://i.ytimg.com/vi/H15dcRbPpjE/default.jpg,False,False,False,"Learn how to believe in yourself."
m3u4U7FiPSU,06.07.08,Cooking Tips: Perfect Pasta Every Time,ChefJohn,26,2017-11-11T08:00:03.000Z,"cooking|pasta|tips|Chef John",874523,74857,241,1547,https://i.ytimg.com/vi/m3u4U7FiPSU/default.jpg,False,False,False,"Chef John shares tips for cooking pasta."
z5Z7FlS4G7M,28.02.07,Space Exploration: Journey to Mars,NASA,28,2017-06-21T10:00:03.000Z,"space|Mars|NASA|exploration",1548751,78541,1254,45874,https://i.ytimg.com/vi/z5Z7FlS4G7M/default.jpg,False,False,False,"NASA's mission to explore Mars."
D34ZMNTh2Oc,30.06.06,"How to Code: Beginner's Guide to Python",CodeAcademy,26,2017-11-01T09:00:03.000Z,"coding|Python|beginners|guide",548751,7845,231,1847,https://i.ytimg.com/vi/D34ZMNTh2Oc/default.jpg,False,False,False,"Learn to code with Python!"
Y6Rkz8KDf7M,24.01.05,Top 5 Best Games of 2017,IGN,20,2017-11-15T14:00:03.000Z,"gaming|2017|best games|IGN",148751,8547,548,1874,https://i.ytimg.com/vi/Y6R



